"testcase_id","testcase_name","expected_hazard_id","model","llm_only__ok","llm_only__folder","llm_only__predicted","llm_only__correct","llm_only__final"
"ATC1","AUTO_SEVERE_WINTER_CONDITIONS","hazards:Hazard_Severe_Winter_Conditions","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC1__AUTO_SEVERE_WINTER_CONDITIONS","winter_storm","False","{""hazard_id"":""winter_storm"",""label"":""Winter Storm"",""confidence"":0.95,""evidence"":[""[Knowledge: Event ID 1023458 shows Winter Storm with $5M property damage]""],""notes"":""Highest damage event""}"
"ATC2","AUTO_CLOUD_SERVICE_OUTAGE_/_SYSTEMIC_CLOUD_DE","hazards:Hazard_Cloud_Service_Outage_Systemic_Cloud_Dependency_Failure","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC2__AUTO_CLOUD_SERVICE_OUTAGE___SYSTEMIC_CLOUD_DE","service_disruption","False","{""hazard_id"":""service_disruption"",""label"":""Service Disruption"",""confidence"":0.95,""evidence"":[""[Knowledge: severity=SERVICE_DISRUPTION, product=Compute Engine, location=europe-west1]""],""notes"":""Compute Engine outage in europe-west1""}"
"ATC3","AUTO_ARMED_CONFLICT","hazards:Hazard_Armed_Conflict","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC3__AUTO_ARMED_CONFLICT","armed_conflict","False","{""hazard_id"":""armed_conflict"",""label"":""Armed Conflict"",""confidence"":0.95,""evidence"":[],""notes"":""Government vs Hamas clashes in Israel.""}"
"ATC4","AUTO_TANGANYIKA_LAUGHTER_EPIDEMIC","hazards:Hazard_Tanganyika_Laughter_Epidemic","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC4__AUTO_TANGANYIKA_LAUGHTER_EPIDEMIC","psychogenic_illness","False","{""hazard_id"":""psychogenic_illness"",""label"":""laughter_epidemic"",""confidence"":0.9,""evidence"":[],""notes"":""mass psychogenic outbreak in Tanzanian schools""}"
"ATC5","AUTO_GNSS_DISRUPTION","hazards:Hazard_GNSS_Disruption_Jamming_Spoofing_Outage","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC5__AUTO_GNSS_DISRUPTION","GNSS_INT","False","{""hazard_id"":""GNSS_INT"",""label"":""GPS interference"",""confidence"":0.92,""evidence"":[""[Knowledge:Intermittent GPS signal; reverted to inertial nav]"",""[Knowledge:Reported sudden position offset; RAIM alert]""],""notes"":""Multiple GNSS anomalies suggest intentional interference""}"
"ATC6","AUTO_FLOOD","hazards:Hazard_Flood","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC6__AUTO_FLOOD","flood","False","{""hazard_id"":""flood"",""label"":""High Water Flooding"",""confidence"":0.96,""evidence"":[""sample data for high water ... 5000 liters/minute/m2""],""notes"":""Elevated discharge and gage heights indicate flooding""}"
"ATC7","AUTO_EXTRATERRESTRIAL_THREAT_(ASTEROID_IMPACT","hazards:Hazard_Extraterrestrial_Threat_Asteroid_Impact_Space_Weather","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC7__AUTO_EXTRATERRESTRIAL_THREAT__ASTEROID_IMPACT","asteroid_impact","False","{""hazard_id"":""asteroid_impact"",""label"":""Impact Hazard"",""confidence"":0.92,""evidence"":[""designation,impact_date,impact_probability,impact_energy_mt,palermo_scale,torino_scale""],""notes"":""Observed asteroid impact data""}"
"ATC8","AUTO_CRITICAL_INFRASTRUCTURE_FAILURE","hazards:Hazard_Critical_Infrastructure_Failure","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC8__AUTO_CRITICAL_INFRASTRUCTURE_FAILURE","transmission_outage","False","{""hazard_id"":""transmission_outage"",""label"":""Transmission outage"",""confidence"":0.5,""evidence"":[],""notes"":""Based on first record; ambiguous without context""}"
"ATC9","AUTO_SURFACE_RUPTURE_/_FISSURING","hazards:Hazard_Surface_Rupture_Fissuring","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC9__AUTO_SURFACE_RUPTURE___FISSURING","FR-1","False","{""hazard_id"":""FR-1"",""label"":""fault_rupture"",""confidence"":0.96,""evidence"":[""[Feature FR-1: fault_rupture displacement 1.2m observed via field_mapping]""],""notes"":""Significant fault rupture indicated""}"
"ATC10","AUTO_CIVIL_UNREST","hazards:Hazard_Civil_Unrest","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC10__AUTO_CIVIL_UNREST","conflict","False","{""hazard_id"":""conflict"",""label"":""Armed Conflict"",""confidence"":0.9,""evidence"":[],""notes"":""Government vs Hamas violent clash""}"
